Geneid,LNCAP_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Hypoxia_S1,LNCAP_Normoxia_S2,PC3_Normoxia_S1,PC3_Hypoxia_S2,PC3_Hypoxia_S1,LNCAP_Normoxia_S1
ENSG00000023697,850,661,760,894,269,265,654,995
ENSG00000023734,15223,1918,13546,14471,725,504,1693,16433
ENSG00000023839,20,26,18,11,7,4,20,15
ENSG00000023892,690,716,614,873,253,156,377,811
ENSG00000023902,133,460,150,97,185,137,437,49
ENSG00000023909,1934,1413,1574,1581,565,537,1877,2140
ENSG00000024048,2256,2186,1759,1376,806,603,2003,1814
ENSG00000024422,1,14,3,0,3,5,14,0
ENSG00000024526,975,3814,829,830,1418,1247,3765,1255
ENSG00000024862,310,299,303,372,113,117,296,405
ENSG00000025039,1408,800,1263,710,304,349,1057,741
ENSG00000025156,1419,412,1347,780,146,124,430,991
ENSG00000025293,3468,1279,2976,2426,480,406,1211,2995
ENSG00000025423,117,23,113,94,10,4,13,88
ENSG00000025434,407,152,381,660,82,33,76,581
ENSG00000025708,179,91,189,376,34,26,57,256
ENSG00000025770,392,300,367,447,140,87,221,456
ENSG00000025772,3173,6206,2693,2940,2103,1953,5090,2720
ENSG00000025796,16915,2642,15015,12561,846,869,2984,15360
ENSG00000025800,4144,2237,3697,3976,783,515,1629,3924
ENSG00000026025,3786,8303,3332,2754,3263,8061,22040,2812
ENSG00000026036,44,43,32,8,24,0,15,11
ENSG00000026103,451,453,425,630,195,120,343,718
ENSG00000026297,647,102,634,637,47,50,96,692
ENSG00000026508,9,18791,20,11,6329,6618,20673,12
ENSG00000026559,233,589,249,439,239,163,392,338
ENSG00000026652,9,291,13,7,120,130,360,3
ENSG00000026751,0,12,0,6,5,7,30,1
ENSG00000026950,616,961,620,777,383,105,349,1031
ENSG00000027001,1518,944,1255,1270,350,283,849,1214
ENSG00000027075,761,474,719,432,156,96,333,545
ENSG00000027644,0,2,1,0,4,0,0,0
ENSG00000027697,1281,707,1050,882,231,294,902,1093
ENSG00000027847,729,319,594,661,108,92,237,549
ENSG00000027869,9,307,6,5,113,127,315,9
ENSG00000028116,934,524,825,913,187,147,418,1145
ENSG00000028137,8,5,3,18,5,1,3,9
ENSG00000028203,5003,1277,4779,4997,473,495,1377,5594
ENSG00000028277,36,210,27,7,59,71,174,15
ENSG00000028310,1144,445,1026,1020,176,101,302,1037
ENSG00000028528,3944,1192,3494,3668,487,416,1106,4029
ENSG00000028839,1589,530,1538,885,190,165,444,923
ENSG00000029153,751,4843,731,326,1751,1897,5644,326
ENSG00000029363,14725,3414,12604,8415,1221,1164,3808,10847
ENSG00000029364,3917,5898,3256,3076,2186,2215,6306,3301
ENSG00000029534,493,53,565,343,23,6,19,390
ENSG00000029559,109,0,59,2,0,0,0,4
ENSG00000029639,356,301,349,306,109,85,253,372
ENSG00000029725,6878,1054,5992,5177,357,247,872,6474
ENSG00000029993,2829,1167,2605,2359,445,400,1097,2410
ENSG00000030066,2894,2114,2325,1922,865,595,1812,2835
ENSG00000030110,551,398,442,467,140,111,321,428
ENSG00000030304,9,1,9,4,1,0,0,9
ENSG00000030419,212,221,200,179,88,145,444,248
ENSG00000030582,1934,3125,1714,1646,1079,2343,5704,1439
ENSG00000031003,3075,638,2276,1921,220,350,1148,2400
ENSG00000031081,51,1104,60,33,397,281,923,38
ENSG00000031691,543,509,409,309,187,198,505,453
ENSG00000031698,8624,3124,8003,12161,1086,891,2680,10327
ENSG00000031823,3267,1867,2646,2274,691,503,1495,2327
ENSG00000032219,1897,1062,1813,1095,394,399,1469,1417
ENSG00000032389,471,200,381,566,92,45,172,543
